EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010631747,AMERICAN LEGION,% DOUG HENSALA,1320 HUGUR AVE,CHEYENNE,WY,82001-4917,0925,19,9,1000,194603,0,00,907908000,5,01,202506,0,0,02,0,06,0,0,0,,0017 E A BLACKMORE MEMORIAL
010639604,BURNS ELEMENTARY PARENT ORGANIZATION,% LISA PEREZ,PO BOX 304,BURNS,WY,82053-0304,0000,03,3,1000,200207,1,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,B94,
010691782,MOSES SONG MINISTRIES,% DEROL SAWYER,5830 E 2ND 5TH,CASPER,WY,82609-0000,0000,03,3,1700,200209,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,SAWYER CYNTHIA SECRETARY
010699262,WILLOW CREEK REFUGE & PRESERVE,% DAVID HIGMAN,PO BOX 398,DUBOIS,WY,82513-0398,0000,03,3,1000,200404,1,03,000000000,1,01,202506,6,3,00,1,06,1780174,70419,,D30,
010825922,SHOSHONE BACK COUNTRY HORSEMEN,,PO BOX 465,POWELL,WY,82435-0465,0000,03,3,1000,202302,1,16,125000000,1,01,202501,0,0,02,0,01,0,0,0,C34,
010894491,DEVILS TOWER SACRED TO MANY PEOPLE INC,% JULIANA BYRD,PO BOX 12,DEVILS TOWER,WY,82714-0012,0000,03,3,1200,200807,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,S99,
010956456,BIG HORN BASIN NATURE & DISCOVERY CENTER JOINT POWERS BOARD,,PO BOX 528,THERMOPOLIS,WY,82443-0528,0000,03,3,1000,202006,1,15,000000000,5,01,,0,0,14,0,06,,,,C02,
020584976,LANDER ECONOMIC DEVELOPMENT ASSOCIATION,% RICHARD F FAGNANT,PO BOX 1306,LANDER,WY,82520-1306,0000,06,3,1000,201407,2,00,000000000,1,01,202412,3,3,01,0,12,51139,58320,19418,P99,
020601640,JACKSON BRONC BACKERS INC,,PO BOX 6350,JACKSON,WY,83002-6350,0000,03,3,1000,200402,1,16,000000000,1,01,202507,4,4,01,0,07,169094,222748,185626,B11,
020613686,YOUTH EMERGENCY SERVICE FOUNDATION,% DAVID JONES,PO BOX 2151,GILLETTE,WY,82717-2151,0000,03,3,1000,200312,1,15,000000000,1,01,202412,6,5,01,0,12,2811020,611826,491033,T11,
020645843,CYCLE WYOMING,% AMBER TRAVSKY,1116 ALBIN ST,LARAMIE,WY,82072-1819,0000,03,3,1000,200308,1,16,000000000,1,01,202412,4,4,01,0,12,200475,154286,20383,M42,
020659425,JOHN WELCH MINISTRIES,% JOHN H WELCH,1251 N 21ST,LARAMIE,WY,82072-5308,0000,03,3,7000,200308,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
020713392,FRIENDS OF THE ALPINE LIBRARY INC,% BRYANT BROWN,PO BOX 3168,ALPINE,WY,83128-0168,0000,03,3,1200,200403,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B11,
020750838,KNIGHTS OF COLUMBUS,% JOHN BENEDIK,1208 MILL ST,LARAMIE,WY,82072-1826,0188,08,9,1000,194010,1,00,036029265,5,01,202512,0,0,02,0,12,0,0,0,,2872 MSGR GEORGE A STOLL ASSEMBLY
020755187,SHERIDAN ARTISTS GUILD ET AL,% EDRE MAIER,PO BOX 1007,SHERIDAN,WY,82801-1007,0000,03,3,2000,200604,1,16,000000000,1,01,202412,5,4,01,0,12,770654,291583,261837,A25,
020769225,BEAR RIVER RIDERS,% MAREN GEARY,289 DOUGLAS DR,ROCK SPRINGS,WY,82901-3148,0000,03,3,1200,202503,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,N69,
020793184,WYOMING COALITION OF LOCAL GOVERNMENTS,,PO BOX 370,LYMAN,WY,82937-0370,0000,03,3,2000,202202,1,16,000000000,1,01,202506,4,4,01,0,06,193035,225934,225934,C34,
030384966,CHARTURE INSTITUTE,% JONATHAN SCHECHTER,PO BOX 4672,JACKSON,WY,83001-4672,0000,03,3,1000,201601,1,15,000000000,1,01,202412,4,3,01,0,12,180165,78721,78721,Y05,
030406681,LITTLE EXPLORERS PRESCHOOL INC,,PO BOX 1621,CODY,WY,82414-1621,0000,03,3,1200,200310,1,11,000000000,1,01,202506,3,3,01,0,06,49860,84690,84495,B21,
030519741,GREYBULL ARTS COUNCIL,% DAVE HALLER,PO BOX 742,GREYBULL,WY,82426-0742,0000,03,3,1000,200309,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,A26,
030563548,LITTLE SNAKE RIVER VALLEY AMBULANCE FUND,,PO BOX 275,BAGGS,WY,82321-0275,0000,03,3,1000,201005,1,15,000000000,1,01,202412,5,4,01,0,12,534832,299462,299462,M23,
